DestIP,Source,ioc
45.156.87.226,Twitter-[drb_ra],[#C2 #Remcos]
85.208.84.28,Twitter-[drb_ra],[#C2 #Remcos]
196.251.80.30,Twitter-[drb_ra],[#C2 #Remcos]
13.245.75.9,Twitter-[drb_ra],[#C2 #NetSupportRAT]
35.180.127.3,Twitter-[drb_ra],[#C2 #NetSupportRAT]
54.160.220.169,Twitter-[drb_ra],[#Interactsh #C2]
52.209.52.25,Twitter-[drb_ra],[#Interactsh #C2]
18.202.77.34,Twitter-[drb_ra],[#Interactsh #C2]
54.154.237.176,Twitter-[drb_ra],[#Interactsh #C2]
108.130.28.158,Twitter-[drb_ra],[#Interactsh #C2]
108.130.96.169,Twitter-[drb_ra],[#Interactsh #C2]
81.181.166.190,Twitter-[drb_ra],[#Interactsh #C2]
116.203.139.44,Twitter-[drb_ra],[#Interactsh #C2]
83.229.112.185,Twitter-[drb_ra],[#Evilginx #C2 #EvilGoPhish]
78.168.170.251,Twitter-[drb_ra],[#C2 #Qakbot]
217.165.152.8,Twitter-[drb_ra],[#C2 #Qakbot]
70.27.138.135,Twitter-[drb_ra],[#C2 #Qakbot]
24.158.34.168,Twitter-[drb_ra],[#C2 #Qakbot]
34.47.138.207,Twitter-[drb_ra],[#C2 #Havoc]
99.83.149.190,Twitter-[drb_ra],[#Deimos #C2]
208.254.122.210,Twitter-[drb_ra],[#Deimos #C2]
102.117.165.215,Twitter-[drb_ra],[#Mythic #C2]
118.89.73.78,Twitter-[drb_ra],[#CobaltStrike #C2]
147.124.219.201,Twitter-[skocherhan],[]
45.86.153.106,Twitter-[drb_ra],"[#CobaltStrike #C2,#C2 #CobaltStrike]"
59.110.64.250,Twitter-[drb_ra],[#CobaltStrike #C2]
101.35.95.220,Twitter-[drb_ra],[#CobaltStrike #C2]
148.135.90.66,Twitter-[drb_ra],[#CobaltStrike #C2]
110.41.15.186,Twitter-[drb_ra],[#CobaltStrike #C2]
156.238.243.78,Twitter-[drb_ra],[#CobaltStrike #C2]
122.51.235.217,Twitter-[drb_ra],"[#CobaltStrike #C2,#C2 #CobaltStrike]"
173.44.62.141,Twitter-[drb_ra],[#CobaltStrike #C2]
78.24.223.191,Twitter-[drb_ra],[#CobaltStrike #C2]
39.105.165.37,Twitter-[drb_ra],[#CobaltStrike #C2]
39.99.141.149,Twitter-[drb_ra],[#CobaltStrike #C2]
47.254.149.115,Twitter-[drb_ra],[#CobaltStrike #C2]
23.177.184.243,Twitter-[galkofahi],[#malware #opendir]
54.159.231.42,Twitter-[drb_ra],[#Deimos #C2]
144.24.71.247,Twitter-[drb_ra],[#Deimos #C2]
99.83.191.129,Twitter-[drb_ra],[#Deimos #C2]
144.34.226.54,Twitter-[drb_ra],[#Deimos #C2]
34.238.232.4,Twitter-[drb_ra],[#Mythic #C2]
138.124.123.107,Twitter-[drb_ra],[#Mythic #C2]
123.163.223.199,Twitter-[drb_ra],[#Sliver #C2]
66.102.138.57,Twitter-[drb_ra],[#Sliver #C2]
167.99.198.194,Twitter-[drb_ra],[#Sliver #C2]
134.122.79.159,Twitter-[drb_ra],[#Sliver #C2]
152.89.218.30,Twitter-[drb_ra],[#Sliver #C2]
216.126.225.57,Twitter-[drb_ra],[#Sliver #C2]
159.75.155.46,Twitter-[drb_ra],[#C2]
34.38.216.20,Twitter-[drb_ra],[#C2]
176.46.158.42,Twitter-[drb_ra],[#Remcos #C2]
216.9.224.52,Twitter-[drb_ra],[#Remcos #C2]
147.124.223.67,Twitter-[drb_ra],[#Remcos #C2]
179.15.140.131,Twitter-[drb_ra],[#Remcos #C2]
104.36.83.75,Twitter-[drb_ra],[#C2 #Remcos]
196.251.88.9,Twitter-[drb_ra],[#C2 #Remcos]
216.9.224.34,Twitter-[drb_ra],[#C2 #Remcos]
91.92.120.100,Twitter-[drb_ra],[#C2 #Remcos]
128.90.113.153,Twitter-[drb_ra],[#C2 #Remcos]
196.251.113.21,Twitter-[drb_ra],[#C2 #Remcos]
179.14.11.248,Twitter-[drb_ra],[#C2 #Remcos]
194.26.192.177,Twitter-[drb_ra],[#C2 #Remcos]
196.251.114.179,Twitter-[drb_ra],[#C2 #Remcos]
